time [s],long accel [g],lat accel [g],vector accel [g],vert accel [g],speed [mph],distance [ft],gear [-],position X [m],position Y [m],TPS [%],Steering Position [Deg],Oil Press [PSI],Brake [V],GPS altitude [m],GPS time [s],GPS alt acc [-],GPS vel raw [mph],GPS long [degs],GPS lat [degs]
53.03,-0.126216233,-1.15E-02,0.176161796,1.03306973,0.437090218,230.0730438,1,44.23879623,-22.89953232,-2.044944286,-7.70490694,21.60000229,13.68800068,85.64099884,63602.461,3.683000088,0.134216174,-117.7296274,33.66645249
53.04,-0.127254859,-1.13E-02,0.174340382,1.034235716,0.484448969,230.0797882,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.60000229,13.76700115,85.65799713,63602.471,3.683000088,0.134216174,-117.7296274,33.6664525
53.05,-0.128168136,-0.011267944,0.175950736,1.03520751,0.488962293,230.0869293,1,44.24056625,-22.89841843,-2.134832144,-7.70490694,21.60000229,13.77400112,85.65799713,63602.481,3.683000088,0.134216174,-117.7296274,33.6664525
53.06,-0.128936976,-1.13E-02,0.178126767,1.035961866,0.47462365,230.0939941,1,44.2414093,-22.89841843,-2.044944286,-7.70490694,21.60000229,13.73900127,85.65799713,63602.491,3.683000088,0.894774556,-117.7296274,33.6664525
53.07,-0.12954627,-1.14E-02,0.184128925,1.03647995,0.509438217,230.1012115,1,44.24224854,-22.89841843,-2.134832144,-7.70490694,21.75,13.81800079,85.65799713,63602.501,3.683000088,0.894774556,-117.7296274,33.6664525
53.08,-0.129985139,-1.16E-02,0.185000986,1.036747932,0.48683998,230.1085205,1,44.24309158,-22.89841843,-2.134832144,-7.70490694,21.60000229,13.73600101,85.65799713,63602.511,3.683000088,0.894774556,-117.7296274,33.6664525
53.09,-0.130247161,-1.20E-02,0.179560214,1.036757708,0.43596375,230.1152802,1,44.24393463,-22.89841843,-2.134832144,-7.70490694,21.60000229,13.77400112,85.65799713,63602.521,3.683000088,0.894774556,-117.7296274,33.6664525
53.1,-0.130330369,-1.24E-02,0.177862525,1.036506653,0.482775062,230.1220245,1,44.24477768,-22.89841843,-2.202247143,-7.70490694,21.75,13.80800056,85.65799713,63602.531,3.683000088,0.894774556,-117.7296273,33.6664525
53.11,-0.130237103,-1.29E-02,0.178097278,1.035998225,0.437040299,230.1287842,1,44.24562073,-22.89841843,-2.134832144,-7.70490694,21.86250305,13.72200108,85.65799713,63602.541,3.683000088,0.894774556,-117.7296273,33.6664525
53.12,-0.129973814,-1.34E-02,0.181672782,1.035241246,0.406729877,230.134964,1,44.24646378,-22.89841843,-2.044944286,-7.70490694,21.75,13.72600079,85.65799713,63602.551,3.683000088,0.894774556,-117.7296273,33.6664525
